customer_id,segment_name,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,return_rate,avg_discount_pct,category_diversity,ticket_count_90d,negative_ticket_rate_90d,sessions_30d,last_visit_days_ago,abandoned_carts_30d,campaign_clicks_30d,manual_priority_bucket
CUST00088,At-Risk High Value,98,12,6774.5,2,5,5,12,0.0,0.365,5,0.0,0.0,9,18,1,0,high
CUST00116,At-Risk High Value,143,6,5635.9,2,5,5,12,0.0,0.18666666666666668,5,0.0,0.0,10,26,0,2,high
CUST00144,At-Risk High Value,86,9,6186.54,2,5,5,12,0.1111111111111111,0.31555555555555553,5,1.0,1.0,8,17,0,2,high
CUST00185,At-Risk High Value,114,7,4179.18,2,5,5,12,0.0,0.33428571428571424,5,0.0,0.0,11,27,1,1,high
CUST00189,At-Risk High Value,140,9,5900.65,2,5,5,12,0.1111111111111111,0.23333333333333334,5,0.0,0.0,10,27,1,0,high
CUST00201,At-Risk High Value,93,7,6691.56,2,5,5,12,0.0,0.23857142857142857,5,1.0,0.0,3,12,0,0,high
CUST00206,At-Risk High Value,118,10,6479.7,2,5,5,12,0.1,0.265,4,0.0,0.0,7,38,0,2,high
CUST00208,At-Risk High Value,91,6,6865.35,2,5,5,12,0.0,0.20000000000000004,4,1.0,1.0,2,24,0,1,high
CUST00392,At-Risk High Value,133,7,5290.95,2,5,5,12,0.0,0.2785714285714286,4,0.0,0.0,4,34,1,1,high
CUST00464,At-Risk High Value,106,10,6495.79,2,5,5,12,0.1,0.34500000000000003,4,0.0,0.0,6,20,0,1,high
CUST00476,At-Risk High Value,140,7,6233.25,2,5,5,12,0.14285714285714285,0.38285714285714284,4,0.0,0.0,6,24,1,0,high
CUST00483,At-Risk High Value,107,7,4120.83,2,5,5,12,0.14285714285714285,0.24714285714285714,5,0.0,0.0,3,10,1,0,high
CUST00527,At-Risk High Value,113,6,5554.469999999999,2,5,5,12,0.0,0.2883333333333334,4,0.0,0.0,1,23,0,0,high
CUST00564,At-Risk High Value,130,8,4592.1900000000005,2,5,5,12,0.0,0.365,4,0.0,0.0,10,27,1,0,high
CUST00585,At-Risk High Value,113,8,5368.63,2,5,5,12,0.0,0.31124999999999997,5,0.0,0.0,15,9,1,2,high
CUST00646,At-Risk High Value,117,6,5934.01,2,5,5,12,0.16666666666666666,0.15666666666666668,4,0.0,0.0,5,20,0,0,high
CUST00726,At-Risk High Value,98,10,7976.49,2,5,5,12,0.1,0.33899999999999997,6,0.0,0.0,10,19,3,0,high
CUST00841,At-Risk High Value,99,8,6838.26,2,5,5,12,0.125,0.185,4,0.0,0.0,2,29,0,0,high
CUST00870,At-Risk High Value,86,7,5454.610000000001,2,5,5,12,0.0,0.2914285714285714,4,0.0,0.0,13,37,2,0,high
CUST00871,At-Risk High Value,122,8,7332.96,2,5,5,12,0.0,0.20625,5,0.0,0.0,3,23,1,0,high
CUST00968,At-Risk High Value,98,6,6505.79,2,5,5,12,0.0,0.29,3,1.0,1.0,12,4,1,0,high
CUST00979,At-Risk High Value,103,8,6304.8099999999995,2,5,5,12,0.0,0.27999999999999997,5,0.0,0.0,5,28,0,0,high
CUST00981,At-Risk High Value,103,8,6263.0,2,5,5,12,0.0,0.31125,5,0.0,0.0,6,22,2,0,high
CUST01034,At-Risk High Value,100,9,5240.5599999999995,2,5,5,12,0.0,0.2922222222222222,5,0.0,0.0,9,22,1,2,high
CUST01036,At-Risk High Value,141,6,5297.63,2,5,5,12,0.0,0.17166666666666666,3,0.0,0.0,8,29,1,0,high
CUST01111,At-Risk High Value,95,7,7703.55,2,5,5,12,0.0,0.2742857142857143,4,1.0,1.0,1,17,0,1,high
CUST01148,At-Risk High Value,128,9,6527.14,2,5,5,12,0.1111111111111111,0.1388888888888889,5,0.0,0.0,1,26,0,0,high
CUST01259,At-Risk High Value,94,6,4645.31,2,5,5,12,0.3333333333333333,0.3066666666666667,5,1.0,1.0,0,10,0,0,high
CUST01285,At-Risk High Value,124,8,6478.76,2,5,5,12,0.0,0.255,4,0.0,0.0,3,36,0,0,high
CUST01352,At-Risk High Value,123,7,5877.57,2,5,5,12,0.14285714285714285,0.3614285714285714,4,0.0,0.0,1,31,0,0,high
CUST01357,At-Risk High Value,126,6,4681.22,2,5,5,12,0.0,0.35000000000000003,3,0.0,0.0,2,23,1,0,high
CUST01384,At-Risk High Value,145,6,7520.42,2,5,5,12,0.16666666666666666,0.2733333333333334,3,0.0,0.0,5,24,1,0,high
CUST01387,At-Risk High Value,128,7,6963.04,2,5,5,12,0.0,0.23,4,0.0,0.0,2,30,0,0,high
CUST01410,At-Risk High Value,146,8,6063.07,2,5,5,12,0.0,0.3875,5,0.0,0.0,11,18,0,0,high
CUST01445,At-Risk High Value,115,10,6651.53,2,5,5,12,0.1,0.316,5,0.0,0.0,2,29,0,0,high
CUST01490,At-Risk High Value,122,7,5285.2,2,5,5,12,0.14285714285714285,0.25,4,0.0,0.0,3,39,0,0,high
CUST01515,At-Risk High Value,96,6,5632.79,2,5,5,12,0.0,0.24166666666666667,3,0.0,0.0,4,20,0,0,high
CUST01544,At-Risk High Value,113,9,5640.23,2,5,5,12,0.2222222222222222,0.38999999999999996,5,0.0,0.0,11,29,1,2,high
CUST01547,At-Risk High Value,99,9,7802.05,2,5,5,12,0.1111111111111111,0.19666666666666666,2,0.0,0.0,4,16,0,1,high
CUST01559,At-Risk High Value,93,8,5817.8,2,5,5,12,0.125,0.28375,4,1.0,1.0,5,8,2,2,high
CUST01614,At-Risk High Value,103,9,5758.2,2,5,5,12,0.1111111111111111,0.2788888888888889,5,0.0,0.0,4,4,1,0,high
CUST01644,At-Risk High Value,118,8,5024.66,2,5,5,12,0.125,0.19375,4,0.0,0.0,5,8,1,3,high
CUST01668,At-Risk High Value,106,8,5325.84,2,5,5,12,0.0,0.4125,5,0.0,0.0,7,14,1,0,high
CUST01714,At-Risk High Value,132,8,7387.29,2,5,5,12,0.0,0.32125000000000004,4,0.0,0.0,0,36,0,0,high
CUST01718,At-Risk High Value,133,12,6556.120000000001,2,5,5,12,0.16666666666666666,0.3425,5,0.0,0.0,4,19,0,2,high
CUST01730,At-Risk High Value,120,7,5329.4400000000005,2,5,5,12,0.14285714285714285,0.40714285714285714,4,0.0,0.0,7,15,1,3,high
CUST01756,At-Risk High Value,90,7,6859.41,2,5,5,12,0.0,0.2342857142857143,4,0.0,0.0,12,8,3,2,high
CUST01761,At-Risk High Value,89,11,7359.26,2,5,5,12,0.09090909090909091,0.3172727272727273,5,0.0,0.0,2,21,0,1,high
CUST01768,At-Risk High Value,101,7,5814.4400000000005,2,5,5,12,0.14285714285714285,0.16285714285714287,3,0.0,0.0,10,28,0,3,high
CUST01782,At-Risk High Value,137,7,4334.56,2,5,5,12,0.0,0.3457142857142857,4,0.0,0.0,1,31,0,0,high
CUST01817,At-Risk High Value,147,7,5667.97,2,5,5,12,0.0,0.1542857142857143,3,0.0,0.0,6,30,1,0,high
CUST01829,At-Risk High Value,101,7,4605.35,2,5,5,12,0.0,0.29857142857142854,2,0.0,0.0,4,17,0,0,high
CUST01844,At-Risk High Value,125,7,4849.78,2,5,5,12,0.0,0.25857142857142856,4,0.0,0.0,8,18,2,0,high
CUST01947,At-Risk High Value,123,7,4832.0599999999995,2,5,5,12,0.0,0.27714285714285714,4,0.0,0.0,6,20,0,1,high
CUST01949,At-Risk High Value,136,8,9603.31,2,5,5,12,0.0,0.21125,4,0.0,0.0,9,31,0,0,high
CUST01962,At-Risk High Value,142,8,5467.6900000000005,2,5,5,12,0.125,0.205,4,0.0,0.0,2,23,0,0,high
CUST02000,At-Risk High Value,96,10,4734.83,2,5,5,12,0.0,0.22000000000000003,4,0.0,0.0,11,18,3,0,high
CUST02118,At-Risk High Value,93,7,5739.9800000000005,2,5,5,12,0.0,0.3114285714285714,4,0.0,0.0,5,19,1,0,high
CUST02145,At-Risk High Value,111,7,4813.139999999999,2,5,5,12,0.0,0.2357142857142857,5,0.0,0.0,2,23,0,0,high
CUST02154,At-Risk High Value,106,16,11777.27,2,5,5,12,0.0625,0.185,5,0.0,0.0,10,24,1,2,high
CUST02158,At-Risk High Value,101,8,4793.27,2,5,5,12,0.125,0.30875,5,0.0,0.0,3,0,0,2,high
CUST02195,At-Risk High Value,119,8,4744.28,2,5,5,12,0.0,0.29875,4,0.0,0.0,3,26,1,1,high
CUST02201,At-Risk High Value,129,5,4412.26,2,5,5,12,0.0,0.194,4,0.0,0.0,2,33,1,0,high
CUST02208,At-Risk High Value,123,6,5051.27,2,5,5,12,0.0,0.25666666666666665,3,0.0,0.0,0,35,0,0,high
CUST02270,At-Risk High Value,91,6,4121.46,2,5,5,12,0.0,0.22833333333333336,3,0.0,0.0,14,13,1,1,high
CUST02287,At-Risk High Value,100,7,7044.49,2,5,5,12,0.14285714285714285,0.24,3,0.0,0.0,0,12,0,1,high
CUST02298,At-Risk High Value,100,6,4073.9900000000002,2,5,5,12,0.0,0.35000000000000003,3,0.0,0.0,13,36,3,0,high
CUST02329,At-Risk High Value,90,5,4216.7699999999995,2,5,5,12,0.0,0.11200000000000002,3,0.0,0.0,7,17,2,3,high
CUST02382,At-Risk High Value,89,7,6958.09,2,5,5,12,0.14285714285714285,0.23,5,0.0,0.0,4,7,0,2,high
CUST02393,At-Risk High Value,122,6,5816.6900000000005,2,5,5,12,0.16666666666666666,0.22166666666666668,4,0.0,0.0,0,29,0,0,high
